E,n,k,eps1,eps2,elf
13.2,1.16,0.82,0.68,1.9,0.47
13.3,1.15,0.81,0.66,1.87,0.47
13.4,1.14,0.81,0.64,1.85,0.48
13.5,1.13,0.81,0.62,1.82,0.49
13.6,1.11,0.8,0.6,1.79,0.5
13.7,1.1,0.79,0.58,1.75,0.51
13.8,1.09,0.79,0.57,1.72,0.52
13.9,1.08,0.78,0.56,1.69,0.53
14.0,1.07,0.77,0.55,1.66,0.54
14.1,1.06,0.77,0.54,1.63,0.55
14.2,1.05,0.76,0.54,1.6,0.56
14.3,1.05,0.75,0.53,1.57,0.57
14.4,1.04,0.74,0.53,1.54,0.58
14.5,1.03,0.74,0.52,1.52,0.59
14.6,1.02,0.73,0.52,1.49,0.6
14.7,1.02,0.72,0.52,1.47,0.61
14.8,1.01,0.71,0.51,1.45,0.61
14.9,1.01,0.71,0.51,1.43,0.62
15.0,1.0,0.7,0.51,1.4,0.63
15.1,0.99,0.69,0.51,1.38,0.64
15.2,0.99,0.69,0.51,1.36,0.65
15.3,0.98,0.68,0.51,1.34,0.65
15.4,0.98,0.68,0.51,1.32,0.66
15.5,0.98,0.67,0.51,1.31,0.67
15.6,0.97,0.66,0.51,1.29,0.67
15.7,0.97,0.66,0.51,1.27,0.68
15.8,0.96,0.65,0.51,1.26,0.68
15.9,0.96,0.65,0.5,1.24,0.69
16.0,0.96,0.64,0.5,1.23,0.7
16.1,0.95,0.64,0.5,1.22,0.7
16.2,0.95,0.63,0.5,1.2,0.71
16.3,0.95,0.63,0.5,1.19,0.72
16.4,0.94,0.63,0.49,1.18,0.72
16.5,0.94,0.62,0.49,1.16,0.73
16.6,0.93,0.62,0.49,1.15,0.74
16.7,0.93,0.61,0.48,1.14,0.74
16.8,0.92,0.61,0.48,1.12,0.75
16.9,0.92,0.6,0.48,1.11,0.76
17.0,0.91,0.6,0.48,1.09,0.77
17.1,0.91,0.59,0.47,1.08,0.78
17.2,0.9,0.59,0.47,1.06,0.79
17.3,0.9,0.58,0.47,1.05,0.79
17.4,0.9,0.58,0.47,1.03,0.8
17.5,0.89,0.57,0.47,1.02,0.81
17.6,0.89,0.56,0.47,1.0,0.82
17.7,0.89,0.56,0.47,0.99,0.82
17.8,0.88,0.55,0.47,0.98,0.83
17.9,0.88,0.55,0.48,0.97,0.83
18.0,0.88,0.54,0.48,0.95,0.84
18.1,0.88,0.54,0.48,0.94,0.84
18.2,0.87,0.53,0.48,0.93,0.85
18.3,0.87,0.53,0.48,0.92,0.85
18.4,0.87,0.52,0.48,0.91,0.86
18.5,0.87,0.52,0.48,0.9,0.86
18.6,0.86,0.51,0.48,0.89,0.87
18.7,0.86,0.51,0.48,0.88,0.87
18.8,0.86,0.51,0.48,0.87,0.88
18.9,0.86,0.5,0.49,0.86,0.88
19.0,0.86,0.5,0.49,0.85,0.89
19.1,0.85,0.49,0.49,0.84,0.89
19.2,0.85,0.49,0.49,0.83,0.9
19.3,0.85,0.48,0.49,0.82,0.9
19.4,0.85,0.48,0.49,0.81,0.9
19.5,0.85,0.47,0.49,0.8,0.91
19.6,0.84,0.47,0.49,0.79,0.91
19.7,0.84,0.46,0.49,0.78,0.91
19.8,0.84,0.46,0.49,0.77,0.92
19.9,0.84,0.46,0.5,0.77,0.92
20.0,0.84,0.45,0.5,0.76,0.92
20.1,0.84,0.45,0.5,0.75,0.92
20.2,0.83,0.44,0.5,0.74,0.93
20.3,0.83,0.44,0.5,0.73,0.93
20.4,0.83,0.44,0.5,0.72,0.93
20.5,0.83,0.43,0.51,0.72,0.93
20.6,0.83,0.43,0.51,0.71,0.93
20.7,0.83,0.42,0.51,0.7,0.94
20.8,0.83,0.42,0.51,0.69,0.94
20.9,0.83,0.42,0.51,0.69,0.94
21.0,0.83,0.41,0.51,0.68,0.94
21.1,0.82,0.41,0.51,0.67,0.94
21.2,0.82,0.4,0.51,0.67,0.94
21.3,0.82,0.4,0.52,0.66,0.94
21.4,0.82,0.4,0.52,0.65,0.94
21.5,0.82,0.39,0.52,0.64,0.94
21.6,0.82,0.39,0.52,0.64,0.94
21.7,0.82,0.39,0.52,0.63,0.94
21.8,0.82,0.38,0.52,0.62,0.94
21.9,0.82,0.38,0.52,0.62,0.94
22.0,0.82,0.37,0.53,0.61,0.94
22.1,0.82,0.37,0.53,0.61,0.94
22.2,0.81,0.37,0.53,0.6,0.94
22.3,0.81,0.36,0.53,0.59,0.94
22.4,0.81,0.36,0.53,0.59,0.93
22.5,0.81,0.36,0.53,0.58,0.93
22.6,0.81,0.35,0.54,0.57,0.93
22.7,0.81,0.35,0.54,0.57,0.93
22.8,0.81,0.35,0.54,0.56,0.93
22.9,0.81,0.34,0.54,0.56,0.92
23.0,0.81,0.34,0.54,0.55,0.92
23.1,0.81,0.34,0.54,0.55,0.92
23.2,0.81,0.33,0.55,0.54,0.92
23.3,0.81,0.33,0.55,0.54,0.91
23.4,0.81,0.33,0.55,0.53,0.91
23.5,0.81,0.32,0.55,0.53,0.91
23.6,0.81,0.32,0.55,0.52,0.9
23.7,0.81,0.32,0.55,0.51,0.9
23.8,0.81,0.32,0.55,0.51,0.9
23.9,0.81,0.31,0.56,0.5,0.89
24.0,0.81,0.31,0.56,0.5,0.89
24.1,0.81,0.31,0.56,0.49,0.89
24.2,0.81,0.3,0.56,0.49,0.88
24.3,0.81,0.3,0.56,0.48,0.88
24.4,0.81,0.3,0.56,0.48,0.88
24.5,0.81,0.29,0.57,0.47,0.87
24.6,0.81,0.29,0.57,0.47,0.87
24.7,0.81,0.29,0.57,0.47,0.86
24.8,0.81,0.29,0.57,0.46,0.86
24.9,0.81,0.28,0.57,0.46,0.85
25.0,0.81,0.28,0.57,0.45,0.85
25.1,0.81,0.28,0.58,0.45,0.84
25.2,0.81,0.27,0.58,0.44,0.84
25.3,0.81,0.27,0.58,0.44,0.83
25.4,0.81,0.27,0.58,0.43,0.82
25.5,0.81,0.27,0.58,0.43,0.82
25.6,0.81,0.26,0.59,0.43,0.81
25.7,0.81,0.26,0.59,0.42,0.81
25.8,0.81,0.26,0.59,0.42,0.8
25.9,0.81,0.26,0.59,0.41,0.79
26.0,0.81,0.25,0.59,0.41,0.79
26.1,0.81,0.25,0.6,0.41,0.78
26.2,0.81,0.25,0.6,0.4,0.78
26.3,0.81,0.25,0.6,0.4,0.77
26.4,0.81,0.24,0.6,0.4,0.77
26.5,0.81,0.24,0.6,0.39,0.76
26.6,0.81,0.24,0.6,0.39,0.75
26.7,0.81,0.24,0.61,0.39,0.75
26.8,0.81,0.24,0.61,0.38,0.74
26.9,0.81,0.23,0.61,0.38,0.74
27.0,0.82,0.23,0.61,0.38,0.73
27.1,0.82,0.23,0.61,0.37,0.73
27.2,0.82,0.23,0.61,0.37,0.72
27.3,0.82,0.22,0.62,0.37,0.71
27.4,0.82,0.22,0.62,0.36,0.71
27.5,0.82,0.22,0.62,0.36,0.7
27.6,0.82,0.22,0.62,0.36,0.7
27.7,0.82,0.22,0.62,0.36,0.69
27.8,0.82,0.22,0.62,0.35,0.69
27.9,0.82,0.21,0.62,0.35,0.68
28.0,0.82,0.21,0.63,0.35,0.68
28.1,0.82,0.21,0.63,0.34,0.67
28.2,0.82,0.21,0.63,0.34,0.67
28.3,0.82,0.21,0.63,0.34,0.66
28.4,0.82,0.2,0.63,0.33,0.66
28.5,0.82,0.2,0.63,0.33,0.65
28.6,0.82,0.2,0.63,0.33,0.65
28.7,0.82,0.2,0.64,0.33,0.64
28.8,0.82,0.2,0.64,0.32,0.63
28.9,0.82,0.19,0.64,0.32,0.63
29.0,0.82,0.19,0.64,0.32,0.62
29.1,0.82,0.19,0.64,0.31,0.62
29.2,0.82,0.19,0.64,0.31,0.61
29.3,0.82,0.19,0.64,0.31,0.61
29.4,0.82,0.19,0.65,0.31,0.6
29.5,0.83,0.18,0.65,0.3,0.59
29.6,0.83,0.18,0.65,0.3,0.59
29.7,0.83,0.18,0.65,0.3,0.58
29.8,0.83,0.18,0.65,0.3,0.58
29.9,0.83,0.18,0.65,0.29,0.57
30.0,0.83,0.18,0.66,0.29,0.57
30.1,0.83,0.17,0.66,0.29,0.56
30.2,0.83,0.17,0.66,0.29,0.56
30.3,0.83,0.17,0.66,0.29,0.55
30.4,0.83,0.17,0.66,0.28,0.55
30.5,0.83,0.17,0.66,0.28,0.54
30.6,0.83,0.17,0.67,0.28,0.54
30.7,0.83,0.17,0.67,0.28,0.53
30.8,0.83,0.17,0.67,0.28,0.53
30.9,0.83,0.16,0.67,0.28,0.53
31.0,0.84,0.16,0.67,0.27,0.52
31.1,0.84,0.16,0.67,0.27,0.52
31.2,0.84,0.16,0.67,0.27,0.51
31.3,0.84,0.16,0.67,0.27,0.51
31.4,0.84,0.16,0.67,0.27,0.51
31.5,0.84,0.16,0.68,0.27,0.5
31.6,0.84,0.16,0.68,0.26,0.5
31.7,0.84,0.16,0.68,0.26,0.5
31.8,0.84,0.16,0.68,0.26,0.49
31.9,0.84,0.15,0.68,0.26,0.49
32.0,0.84,0.15,0.68,0.26,0.49
32.1,0.84,0.15,0.68,0.26,0.49
32.2,0.84,0.15,0.68,0.25,0.48
32.3,0.84,0.15,0.68,0.25,0.48
32.4,0.84,0.15,0.68,0.25,0.48
32.5,0.84,0.15,0.68,0.25,0.47
32.6,0.84,0.15,0.68,0.25,0.47
32.7,0.84,0.15,0.68,0.25,0.47
32.8,0.84,0.15,0.68,0.24,0.46
32.9,0.84,0.14,0.68,0.24,0.46
33.0,0.84,0.14,0.68,0.24,0.46
33.1,0.84,0.14,0.69,0.24,0.45
33.2,0.84,0.14,0.69,0.24,0.45
33.3,0.84,0.14,0.69,0.23,0.44
33.4,0.84,0.14,0.69,0.23,0.44
33.5,0.84,0.14,0.69,0.23,0.44
33.6,0.84,0.14,0.69,0.23,0.43
33.7,0.84,0.13,0.69,0.23,0.43
33.8,0.84,0.13,0.69,0.22,0.42
33.9,0.84,0.13,0.69,0.22,0.42
34.0,0.84,0.13,0.69,0.22,0.42
34.1,0.84,0.13,0.69,0.22,0.41
34.2,0.84,0.13,0.69,0.21,0.41
34.3,0.84,0.13,0.69,0.21,0.4
34.4,0.84,0.12,0.69,0.21,0.4
34.5,0.84,0.12,0.7,0.21,0.4
34.6,0.84,0.12,0.7,0.21,0.39
34.7,0.84,0.12,0.7,0.2,0.39
34.8,0.84,0.12,0.7,0.2,0.38
34.9,0.84,0.12,0.7,0.2,0.38
35.0,0.85,0.12,0.7,0.2,0.37
35.1,0.85,0.12,0.7,0.2,0.37
35.2,0.85,0.12,0.7,0.2,0.37
35.3,0.85,0.11,0.7,0.19,0.36
35.4,0.85,0.11,0.7,0.19,0.36
35.5,0.85,0.11,0.71,0.19,0.35
35.6,0.85,0.11,0.71,0.19,0.35
35.7,0.85,0.11,0.71,0.19,0.35
35.8,0.85,0.11,0.71,0.18,0.34
35.9,0.85,0.11,0.71,0.18,0.34
36.0,0.85,0.11,0.71,0.18,0.34
36.1,0.85,0.11,0.71,0.18,0.33
36.2,0.85,0.1,0.71,0.18,0.33
36.3,0.85,0.1,0.71,0.18,0.33
36.4,0.85,0.1,0.72,0.17,0.32
36.5,0.85,0.1,0.72,0.17,0.32
36.6,0.85,0.1,0.72,0.17,0.32
36.7,0.85,0.1,0.72,0.17,0.31
36.8,0.85,0.1,0.72,0.17,0.31
36.9,0.85,0.1,0.72,0.17,0.31
37.0,0.85,0.1,0.72,0.17,0.3
37.1,0.86,0.1,0.72,0.16,0.3
37.2,0.86,0.09,0.72,0.16,0.3
37.3,0.86,0.09,0.72,0.16,0.29
37.4,0.86,0.09,0.73,0.16,0.29
37.5,0.86,0.09,0.73,0.16,0.29
37.6,0.86,0.09,0.73,0.16,0.28
37.7,0.86,0.09,0.73,0.16,0.28
37.8,0.86,0.09,0.73,0.15,0.28
37.9,0.86,0.09,0.73,0.15,0.27
38.0,0.86,0.09,0.73,0.15,0.27
38.1,0.86,0.09,0.73,0.15,0.27
38.2,0.86,0.09,0.73,0.15,0.27
38.3,0.86,0.09,0.73,0.15,0.26
38.4,0.86,0.08,0.73,0.15,0.26
38.5,0.86,0.08,0.74,0.14,0.26
38.6,0.86,0.08,0.74,0.14,0.25
38.7,0.86,0.08,0.74,0.14,0.25
38.8,0.86,0.08,0.74,0.14,0.25
38.9,0.86,0.08,0.74,0.14,0.24
39.0,0.86,0.08,0.74,0.14,0.24
39.1,0.86,0.08,0.74,0.14,0.24
39.2,0.87,0.08,0.74,0.13,0.24
39.3,0.87,0.08,0.74,0.13,0.23
39.4,0.87,0.08,0.74,0.13,0.23
39.5,0.87,0.08,0.75,0.13,0.23
39.6,0.87,0.07,0.75,0.13,0.23
39.7,0.87,0.07,0.75,0.13,0.22
39.8,0.87,0.07,0.75,0.13,0.22
39.9,0.87,0.07,0.75,0.13,0.22
40.0,0.87,0.07,0.75,0.12,0.21
40.1,0.87,0.07,0.75,0.12,0.21
40.2,0.87,0.07,0.75,0.12,0.21
40.3,0.87,0.07,0.75,0.12,0.21
40.4,0.87,0.07,0.75,0.12,0.2
40.5,0.87,0.07,0.76,0.12,0.2
40.6,0.87,0.07,0.76,0.12,0.2
40.7,0.87,0.07,0.76,0.12,0.2
40.8,0.87,0.07,0.76,0.11,0.19
40.9,0.87,0.06,0.76,0.11,0.19
41.0,0.87,0.06,0.76,0.11,0.19
41.1,0.88,0.06,0.76,0.11,0.19
41.2,0.88,0.06,0.76,0.11,0.19
41.3,0.88,0.06,0.76,0.11,0.18
41.4,0.88,0.06,0.77,0.11,0.18
41.5,0.88,0.06,0.77,0.11,0.18
41.6,0.88,0.06,0.77,0.11,0.18
41.7,0.88,0.06,0.77,0.1,0.17
41.8,0.88,0.06,0.77,0.1,0.17
41.9,0.88,0.06,0.77,0.1,0.17
42.0,0.88,0.06,0.77,0.1,0.17
42.1,0.88,0.06,0.77,0.1,0.17
42.2,0.88,0.06,0.77,0.1,0.16
42.3,0.88,0.06,0.78,0.1,0.16
42.4,0.88,0.06,0.78,0.1,0.16
42.5,0.88,0.05,0.78,0.1,0.16
42.6,0.88,0.05,0.78,0.1,0.16
42.7,0.88,0.05,0.78,0.1,0.15
42.8,0.89,0.05,0.78,0.09,0.15
42.9,0.89,0.05,0.78,0.09,0.15
43.0,0.89,0.05,0.78,0.09,0.15
43.1,0.89,0.05,0.78,0.09,0.15
43.2,0.89,0.05,0.78,0.09,0.15
43.3,0.89,0.05,0.79,0.09,0.14
43.4,0.89,0.05,0.79,0.09,0.14
43.5,0.89,0.05,0.79,0.09,0.14
43.6,0.89,0.05,0.79,0.09,0.14
43.7,0.89,0.05,0.79,0.09,0.14
43.8,0.89,0.05,0.79,0.09,0.14
43.9,0.89,0.05,0.79,0.09,0.13
44.0,0.89,0.05,0.79,0.08,0.13
44.1,0.89,0.05,0.79,0.08,0.13
44.2,0.89,0.05,0.8,0.08,0.13
44.3,0.89,0.05,0.8,0.08,0.13
44.4,0.89,0.05,0.8,0.08,0.13
44.5,0.89,0.05,0.8,0.08,0.13
