E,n,k,eps1,eps2,elf
13.2,1.14,0.73,0.77,1.67,0.49
13.3,1.13,0.73,0.76,1.65,0.5
13.4,1.13,0.72,0.75,1.63,0.51
13.5,1.12,0.72,0.74,1.61,0.51
13.6,1.12,0.72,0.73,1.6,0.52
13.7,1.11,0.71,0.72,1.58,0.52
13.8,1.1,0.71,0.71,1.56,0.53
13.9,1.1,0.71,0.7,1.55,0.54
14.0,1.09,0.7,0.69,1.53,0.54
14.1,1.08,0.7,0.68,1.51,0.55
14.2,1.07,0.7,0.67,1.5,0.56
14.3,1.07,0.69,0.66,1.48,0.56
14.4,1.06,0.69,0.65,1.46,0.57
14.5,1.05,0.68,0.64,1.44,0.58
14.6,1.05,0.68,0.64,1.42,0.59
14.7,1.04,0.68,0.63,1.41,0.59
14.8,1.03,0.67,0.62,1.39,0.6
14.9,1.03,0.67,0.61,1.37,0.61
15.0,1.02,0.66,0.61,1.35,0.61
15.1,1.02,0.66,0.6,1.34,0.62
15.2,1.01,0.65,0.6,1.32,0.63
15.3,1.01,0.65,0.59,1.3,0.64
15.4,1.0,0.64,0.59,1.29,0.64
15.5,1.0,0.64,0.58,1.27,0.65
15.6,0.99,0.63,0.58,1.25,0.66
15.7,0.99,0.63,0.58,1.24,0.66
15.8,0.98,0.62,0.57,1.23,0.67
15.9,0.98,0.62,0.57,1.21,0.68
16.0,0.97,0.62,0.57,1.2,0.68
16.1,0.97,0.61,0.56,1.18,0.69
16.2,0.96,0.61,0.56,1.17,0.7
16.3,0.96,0.6,0.56,1.16,0.7
16.4,0.96,0.6,0.55,1.14,0.71
16.5,0.95,0.59,0.55,1.13,0.71
16.6,0.95,0.59,0.55,1.12,0.72
16.7,0.94,0.58,0.55,1.1,0.73
16.8,0.94,0.58,0.54,1.09,0.73
16.9,0.93,0.58,0.54,1.08,0.74
17.0,0.93,0.57,0.54,1.06,0.75
17.1,0.93,0.57,0.54,1.05,0.75
17.2,0.92,0.56,0.54,1.04,0.76
17.3,0.92,0.56,0.53,1.03,0.77
17.4,0.92,0.55,0.53,1.01,0.77
17.5,0.91,0.55,0.53,1.0,0.78
17.6,0.91,0.54,0.53,0.99,0.78
17.7,0.91,0.54,0.53,0.98,0.79
17.8,0.9,0.54,0.53,0.97,0.8
17.9,0.9,0.53,0.53,0.95,0.8
18.0,0.9,0.53,0.53,0.94,0.81
