E,n,k,eps1,eps2,elf
13.2,0.89,0.84,0.1,1.5,0.66
13.3,0.89,0.83,0.11,1.47,0.68
13.4,0.88,0.81,0.12,1.44,0.69
13.5,0.88,0.8,0.13,1.41,0.7
13.6,0.87,0.79,0.14,1.39,0.71
13.7,0.87,0.78,0.15,1.36,0.73
13.8,0.87,0.77,0.16,1.34,0.74
13.9,0.86,0.76,0.16,1.32,0.75
14.0,0.86,0.75,0.17,1.3,0.76
14.1,0.86,0.75,0.18,1.28,0.77
14.2,0.86,0.74,0.19,1.26,0.77
14.3,0.85,0.73,0.19,1.25,0.78
14.4,0.85,0.72,0.2,1.23,0.79
14.5,0.85,0.72,0.2,1.21,0.8
14.6,0.84,0.71,0.21,1.2,0.81
14.7,0.84,0.7,0.21,1.18,0.82
14.8,0.84,0.7,0.21,1.16,0.83
14.9,0.83,0.69,0.22,1.15,0.84
15.0,0.83,0.68,0.22,1.13,0.85
15.1,0.82,0.68,0.22,1.11,0.86
15.2,0.82,0.67,0.22,1.1,0.88
15.3,0.82,0.66,0.23,1.08,0.89
15.4,0.81,0.65,0.23,1.06,0.9
15.5,0.81,0.65,0.24,1.04,0.91
15.6,0.81,0.64,0.24,1.03,0.92
15.7,0.8,0.63,0.25,1.01,0.93
15.8,0.8,0.62,0.25,1.0,0.94
15.9,0.8,0.61,0.26,0.98,0.95
16.0,0.8,0.61,0.27,0.97,0.96
16.1,0.8,0.6,0.27,0.95,0.97
16.2,0.79,0.59,0.28,0.94,0.98
16.3,0.79,0.59,0.29,0.93,0.98
16.4,0.79,0.58,0.29,0.92,0.99
16.5,0.79,0.57,0.3,0.91,0.99
16.6,0.79,0.57,0.31,0.9,1.0
16.7,0.79,0.56,0.31,0.89,1.0
16.8,0.79,0.56,0.31,0.88,1.01
16.9,0.79,0.55,0.32,0.87,1.01
17.0,0.79,0.55,0.32,0.86,1.02
17.1,0.79,0.54,0.32,0.85,1.02
17.2,0.78,0.54,0.33,0.84,1.03
17.3,0.78,0.53,0.33,0.83,1.04
17.4,0.78,0.53,0.33,0.82,1.05
17.5,0.78,0.52,0.33,0.81,1.05
17.6,0.78,0.52,0.33,0.8,1.06
17.7,0.77,0.51,0.34,0.79,1.07
17.8,0.77,0.51,0.34,0.78,1.08
17.9,0.77,0.5,0.34,0.77,1.08
18.0,0.77,0.49,0.35,0.76,1.09
18.1,0.77,0.49,0.35,0.75,1.09
18.2,0.77,0.48,0.36,0.74,1.09
18.3,0.77,0.48,0.36,0.73,1.1
18.4,0.77,0.47,0.37,0.72,1.1
18.5,0.77,0.47,0.37,0.72,1.1
18.6,0.77,0.46,0.38,0.71,1.1
18.7,0.77,0.46,0.38,0.7,1.1
18.8,0.77,0.45,0.38,0.7,1.1
18.9,0.77,0.45,0.39,0.69,1.1
19.0,0.77,0.45,0.39,0.68,1.1
19.1,0.77,0.44,0.39,0.68,1.11
19.2,0.77,0.44,0.39,0.67,1.11
19.3,0.76,0.44,0.4,0.67,1.11
19.4,0.76,0.43,0.4,0.66,1.11
19.5,0.76,0.43,0.4,0.65,1.12
